,DDINDIENIN,OMSCHRIJVI,TYPE,geometry,x,y
314,2002-05-07,,Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.573305095255606 53.21865987151278),6.573305095255606,53.21865987151278
315,2009-04-15,"AGSR Gyas, toernooi 2 mei 2009, Hoornsediep 199",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.563215285998025 53.20208393143943),6.563215285998025,53.20208393143943
316,2002-04-24,"Schuitendiep 52, Koninginnedag",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.573305095255606 53.21865987151278),6.573305095255606,53.21865987151278
317,2013-04-19,"Koninginnenacht en -dag 2013, Gelkingestraat 24, Tekinev",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.568633942926255 53.21751279306655),6.568633942926255,53.21751279306655
318,2016-06-28,"Star Numanstraat 52, eindfeest groep 1&2 St. Franciscusschool",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.579322344109271 53.2326332397789),6.579322344109271,53.2326332397789
319,2009-12-10,Kerstmarkt Claremaheerd 19 december 2009,Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.601066085455125 53.24852626227881),6.601066085455125,53.24852626227881
320,2004-03-26,ter gelegenheid fiesta latina,Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.571811249198515 53.2192258150794),6.571811249198515,53.219225815079405
321,1984-01-01,"Mandaat D&H vergunning Van Heemskerckstraat 101, 'Suiker Unie Groningen'",Drank- en Horecavergunning,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
322,2013-08-07,"Fotomanifestatie Noorderlicht, 31 augustus 2013, Suikerunie terrein, Van Heemskerckstraat 101",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
323,2016-04-12,"Dubbelspel XL, Concert Patrimonium i.c.m. Santelli, 16 april 2016, Zeefgebouw",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
324,2006-11-07,"Kerstland 2006, Martiniplaza, Leonard Springerlaan 2",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.555379958441701 53.20264986170115),6.555379958441701,53.202649861701154
325,2009-11-30,"Kerstplaza van 25 december 2009 t/m 3 januari 2010, Martiniplaza te Groningen",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.555379958441701 53.20264986170115),6.555379958441701,53.202649861701154
326,2014-11-04,"Leonard Springerlaan 2, Kerstplaza, Klinkhamer Catering",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.555379958441701 53.20264986170115),6.555379958441701,53.202649861701154
327,2006-04-20,"Koninginnedag 2006, Lichtboei 22 straatfeest",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.612820448453323 53.23534910729017),6.612820448453323,53.23534910729017
328,2008-03-27,"Gyas, diverse data in 2008 i.v.m. verbouwing, Hoornsediep WZ 199",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.563215285998025 53.20208393143943),6.563215285998025,53.20208393143943
329,2015-01-21,"Gyas-Hunze feest 14 februari 2015, Hoornsediep 199 WZ",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.563215285998025 53.20208393143943),6.563215285998025,53.20208393143943
330,2011-06-21,"Pasar Malam Asia, Kardingerplein 1, 22 t/m 24 juli 2011",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.597139210651591 53.23779027871723),6.597139210651591,53.237790278717235
